2.8391,2.8392,2.8395,2.8399,2.8405,2.8413,2.8423,2.8435,2.8448,2.8463,2.848,2.8498,2.8519,2.854,2.8564,2.8589,2.8616,2.8644,2.8673,2.8704,2.8737,2.8771,2.8806,2.8843,2.8881,2.892,2.8961,2.9002,2.9045,2.9088,2.9133,2.9179,2.9225,2.9273,2.9321,2.937,2.9419,2.9469,2.952,2.9571,2.9623,2.9675,2.9727,2.9779,2.9832,2.9885,2.9937,2.999,3.0043,3.0095,3.0148,3.02,3.0252,3.0303,3.0354,3.0404,3.0454,3.0503,3.0551,3.0599,3.0646,3.0691,3.0736,3.078,3.0823,3.0865,3.0905,3.0944,3.0982,3.1019,3.1054,3.1088,3.1121,3.1151,3.1181,3.1209,3.1235,3.1259,3.1282,3.1303,3.1323,3.134,3.1356,3.137,3.1382,3.1392,3.1401,3.1407,3.1412,3.1415,3.1416
2.0185,2.0188,2.0197,2.0213,2.0234,2.0262,2.0296,2.0335,2.0381,2.0433,2.0491,2.0555,2.0624,2.0699,2.078,2.0867,2.0959,2.1057,2.116,2.1269,2.1383,2.1501,2.1625,2.1754,2.1887,2.2025,2.2168,2.2315,2.2466,2.2621,2.278,2.2943,2.311,2.328,2.3453,2.3629,2.3808,2.399,2.4174,2.436,2.4549,2.4739,2.4931,2.5124,2.5319,2.5514,2.571,2.5907,2.6104,2.63,2.6497,2.6693,2.6889,2.7082,2.7275,2.7466,2.7656,2.7843,2.8028,2.8211,2.8391,2.8568,2.8741,2.8911,2.9077,2.924,2.9397,2.9551,2.9699,2.9843,2.9982,3.0115,3.0243,3.0365,3.0481,3.0591,3.0694,3.0791,3.0882,3.0966,3.1043,3.1113,3.1176,3.1232,3.1281,3.1322,3.1356,3.1382,3.1401,3.1412,3.1416
0.91283,0.91336,0.91493,0.91755,0.92122,0.92594,0.9317,0.93851,0.94635,0.95524,0.96516,0.97612,0.98811,1.0011,1.0152,1.0302,1.0463,1.0634,1.0814,1.1005,1.1205,1.1416,1.1635,1.1865,1.2103,1.2351,1.2609,1.2875,1.3149,1.3433,1.3725,1.4025,1.4333,1.4649,1.4972,1.5303,1.5641,1.5985,1.6336,1.6692,1.7055,1.7422,1.7795,1.8172,1.8553,1.8938,1.9326,1.9717,2.011,2.0505,2.0902,2.1299,2.1696,2.2093,2.249,2.2885,2.3277,2.3668,2.4055,2.4438,2.4817,2.5191,2.556,2.5922,2.6278,2.6626,2.6966,2.7298,2.762,2.7933,2.8235,2.8527,2.8807,2.9075,2.9331,2.9574,2.9804,3.002,3.0221,3.0408,3.058,3.0737,3.0878,3.1003,3.1112,3.1204,3.128,3.134,3.1382,3.1407,3.1416
-0.17266,-0.17207,-0.17029,-0.16732,-0.16315,-0.15779,-0.15123,-0.14346,-0.13449,-0.12429,-0.11287,-0.10021,-0.086302,-0.071144,-0.054722,-0.037025,-0.018043,0.0022342,0.023818,0.046717,0.070943,0.096505,0.12341,0.15167,0.18129,0.21227,0.24463,0.27835,0.31345,0.34993,0.38778,0.42699,0.46756,0.50948,0.55274,0.59731,0.64319,0.69035,0.73876,0.7884,0.83923,0.89122,0.94431,0.99848,1.0537,1.1098,1.1669,1.2248,1.2835,1.3429,1.4029,1.4635,1.5245,1.586,1.6477,1.7096,1.7716,1.8336,1.8955,1.9572,2.0185,2.0794,2.1397,2.1993,2.2582,2.3161,2.3729,2.4286,2.483,2.536,2.5875,2.6374,2.6855,2.7316,2.7758,2.818,2.8579,2.8955,2.9308,2.9636,2.9938,3.0214,3.0462,3.0683,3.0876,3.104,3.1175,3.128,3.1356,3.1401,3.1416
-0.9558,-0.95538,-0.95409,-0.95194,-0.94893,-0.94503,-0.94023,-0.93453,-0.92789,-0.9203,-0.91172,-0.90222,-0.89152,-0.87983,-0.86702,-0.85307,-0.83793,-0.82157,-0.80393,-0.78497,-0.76466,-0.74293,-0.71974,-0.69505,-0.6688,-0.64095,-0.61145,-0.58025,-0.54731,-0.51258,-0.47603,-0.50121,-0.39727,-0.355,-0.31078,-0.26453,-0.21629,-0.16601,-0.11368,-0.059311,-0.0028924,0.055565,0.11605,0.17853,0.24298,0.30937,0.37764,0.44774,0.5196,0.59315,0.66831,0.74497,0.82305,0.90242,0.98296,1.0645,1.147,1.2303,1.3141,1.3983,1.4828,1.5674,1.6518,1.7359,1.8195,1.9024,1.9843,2.065,2.1444,2.2222,2.2982,2.3722,2.4439,2.5131,2.5797,2.6434,2.704,2.7614,2.8153,2.8656,2.9122,2.9547,2.9932,3.0275,3.0575,3.083,3.104,3.1204,3.1322,3.1392,3.1416
-1.2629,-1.2628,-1.2627,-1.2625,-1.2621,-1.2616,-1.261,-1.2602,-1.2591,-1.2578,-1.2563,-1.2543,-1.252,-1.2492,-1.246,-1.2421,-1.2376,-1.2323,-1.2263,-1.2193,-1.2114,-1.2024,-1.1922,-1.1808,-1.168,-1.1537,-1.1378,-1.1203,-1.101,-1.0797,-1.0565,-1.0311,-1.0035,-0.97354,-0.94116,-0.90624,-0.86868,-0.8284,-0.7853,-0.73931,-0.69037,-0.6384,-0.58335,-0.52519,-0.46389,-0.39941,-0.33179,-0.26097,-0.18704,-0.11001,-0.029937,0.053099,0.13901,0.22769,0.319,0.41281,0.50895,0.60723,0.70745,0.8094,0.91283,1.0175,1.1231,1.2294,1.3361,1.4428,1.5492,1.6551,1.76,1.8635,1.9654,2.0653,2.1628,2.2575,2.3491,2.4372,2.5215,2.6016,2.6773,2.7482,2.8139,2.8743,2.9291,2.978,3.0208,3.0574,3.0875,3.1111,3.128,3.1382,3.1416
-1.0764,-1.0768,-1.0781,-1.0802,-1.0831,-1.0869,-1.0914,-1.0967,-1.1027,-1.1094,-1.1167,-1.1246,-1.133,-1.1419,-1.1511,-1.1607,-1.1704,-1.1803,-1.1903,-1.2001,-1.2097,-1.219,-1.2279,-1.2362,-1.2438,-1.2504,-1.2561,-1.2605,-1.2636,-1.2652,-1.265,-1.2629,-1.2587,-1.2522,-1.2433,-1.2316,-1.2171,-1.1995,-1.1787,-1.1544,-1.1265,-1.0948,-1.0592,-1.0194,-0.97537,-0.92696,-0.87404,-0.81654,-0.75436,-0.68748,-0.61584,-0.53945,-0.45834,-0.37255,-0.28216,-0.18728,-0.088063,0.015325,0.12267,0.23374,0.34826,0.46591,0.58637,0.70925,0.83417,0.96068,1.0883,1.2167,1.3451,1.4732,1.6004,1.7262,1.8499,1.9711,2.0891,2.2034,2.3134,2.4186,2.5184,2.6123,2.6999,2.7806,2.8541,2.92,2.9778,3.0272,3.0681,3.1001,3.1231,3.137,3.1416
-0.53049,-0.53129,-0.53367,-0.53764,-0.54318,-0.55029,-0.55895,-0.56915,-0.58087,-0.59408,-0.60875,-0.62484,-0.64233,-0.66117,-0.6813,-0.70266,-0.72519,-0.74882,-0.77347,-0.79904,-0.82542,-0.85252,-0.88021,-0.90834,-0.93678,-0.96537,-0.99394,-1.0223,-1.0502,-1.0776,-1.1041,-1.1295,-1.1536,-1.1761,-1.1967,-1.2152,-1.2312,-1.2446,-1.2549,-1.2618,-1.2651,-1.2644,-1.2594,-1.2498,-1.2354,-1.2157,-1.1906,-1.1598,-1.123,-1.08,-1.0307,-0.97493,-0.91247,-0.84329,-0.76734,-0.68462,-0.59516,-0.49907,-0.39648,-0.2876,-0.17266,-0.051988,0.07407,0.20509,0.34061,0.48011,0.623,0.76867,0.91645,1.0656,1.2155,1.3652,1.514,1.661,1.8054,1.9465,2.0832,2.2149,2.3406,2.4596,2.5711,2.6744,2.7688,2.8537,2.9285,2.9927,3.0458,3.0875,3.1175,3.1356,3.1416
0.14192,0.14103,0.13836,0.1339,0.12765,0.1196,0.10974,0.098066,0.084557,0.069206,0.051999,0.032926,0.011977,-0.010855,-0.035574,-0.062179,-0.090668,-0.12103,-0.15324,-0.18728,-0.2231,-0.26066,-0.2999,-0.34074,-0.38308,-0.42684,-0.47187,-0.51804,-0.56518,-0.61311,-0.66162,-0.71048,-0.75944,-0.80822,-0.85652,-0.90401,-0.95035,-0.99516,-1.0381,-1.0786,-1.1164,-1.151,-1.1819,-1.2087,-1.2309,-1.248,-1.2595,-1.2649,-1.2639,-1.2558,-1.2404,-1.2173,-1.186,-1.1463,-1.0978,-1.0404,-0.97393,-0.89833,-0.81337,-0.71932,-0.61622,-0.5043,-0.38384,-0.25523,-0.11893,0.0245,0.17441,0.33008,0.49071,0.65539,0.82319,0.99309,1.164,1.3348,1.5044,1.6715,1.835,1.9936,2.1462,2.2916,2.4287,2.5564,2.6736,2.7795,2.8731,2.9537,3.0206,3.0732,3.1111,3.1339,3.1416
0.69202,0.69138,0.68946,0.68625,0.68172,0.67584,0.66859,0.65991,0.64975,0.63806,0.62477,0.60982,0.59312,0.57461,0.5542,0.53181,0.50735,0.48075,0.45193,0.42081,0.38733,0.35141,0.31302,0.27211,0.22865,0.18264,0.13408,0.083008,0.029475,-0.026439,-0.084622,-0.14494,-0.20722,-0.27125,-0.33678,-0.40354,-0.47119,-0.53938,-0.6077,-0.6757,-0.74289,-0.80875,-0.87271,-0.93418,-0.99252,-1.0471,-1.0972,-1.1421,-1.1811,-1.2136,-1.2387,-1.2559,-1.2645,-1.2637,-1.253,-1.2319,-1.1999,-1.1566,-1.1016,-1.0347,-0.9558,-0.86488,-0.76201,-0.64744,-0.5215,-0.38468,-0.2376,-0.081014,0.084208,0.25705,0.43639,0.62098,0.80947,1.0004,1.1924,1.3837,1.5727,1.7579,1.9376,2.1102,2.2739,2.4274,2.5691,2.6977,2.8118,2.9104,2.9925,3.0572,3.1039,3.1322,3.1416
