param d :
	1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40 :=
13	2.854 2.0699 1.0011 -0.071144 -0.87983 -1.2492 -1.1419 -0.66117 -0.010855 0.57461 0.90529 0.89244 0.56924 0.070803 -0.41808 -0.72838 -0.76322 -0.52668 -0.11675 0.31349 0.61161 0.67882 0.50191 0.15406 -0.23441 -0.52415 -0.61614 -0.48501 -0.18538 0.17029 0.45345 0.56551 0.47184 0.21212 -0.11601 -0.39335 -0.52215 -0.46037 -0.23513 0.068743
14	2.8564 2.078 1.0152 -0.054722 -0.86702 -1.246 -1.1511 -0.6813 -0.035574 0.5542 0.8974 0.90124 0.59287 0.10157 -0.39117 -0.71566 -0.77034 -0.5522 -0.15222 0.28069 0.59378 0.6833 0.52808 0.19321 -0.1962 -0.50101 -0.61718 -0.51078 -0.22728 0.12712 0.42484 0.56245 0.49627 0.25591 -0.068353 -0.3592 -0.51442 -0.48262 -0.27999 0.017113
15	2.8589 2.0867 1.0302 -0.037025 -0.85307 -1.2421 -1.1607 -0.70266 -0.062179 0.53181 0.8881 0.90977 0.61759 0.13456 -0.36155 -0.70061 -0.77639 -0.57838 -0.19004 0.24454 0.57267 0.68572 0.55423 0.23456 -0.15414 -0.47361 -0.61503 -0.53561 -0.27101 0.079783 0.39104 0.55495 0.51864 0.30092 -0.016415 -0.31903 -0.50096 -0.50149 -0.3252 -0.038684
16	2.8616 2.0959 1.0463 -0.018043 -0.83793 -1.2376 -1.1704 -0.72519 -0.090668 0.50735 0.87723 0.91782 0.64323 0.16973 -0.3291 -0.68299 -0.78101 -0.60489 -0.23001 0.20496 0.54794 0.68555 0.57982 0.27777 -0.10824 -0.44156 -0.60898 -0.55874 -0.316 0.028432 0.35167 0.54218 0.53792 0.34628 0.039434 -0.27252 -0.48082 -0.51565 -0.36955 -0.09799
17	2.8644 2.1057 1.0634 0.0022342 -0.82157 -1.2323 -1.1803 -0.74882 -0.12103 0.48075 0.86462 0.92517 0.66958 0.20697 -0.29375 -0.66252 -0.78381 -0.63136 -0.27192 0.16193 0.51923 0.68223 0.60427 0.32241 -0.058584 -0.40451 -0.59834 -0.5793 -0.36154 -0.026651 0.30645 0.52331 0.55299 0.39094 0.09862 -0.21952 -0.45311 -0.52384 -0.4116 -0.15984
18	2.8673 2.116 1.0814 0.023818 -0.80393 -1.2263 -1.1903 -0.77347 -0.15324 0.45193 0.85009 0.93159 0.69643 0.24617 -0.25542 -0.63893 -0.78438 -0.65736 -0.31548 0.11542 0.48626 0.6752 0.62689 0.36796 -0.0053473 -0.36219 -0.58239 -0.59638 -0.40679 -0.085013 0.25519 0.49755 0.56264 0.43369 0.16033 -0.16012 -0.41705 -0.5245 -0.44973 -0.22294
19	2.8704 2.1269 1.1005 0.046717 -0.78497 -1.2193 -1.2001 -0.79904 -0.18728 0.42081 0.83346 0.93681 0.72354 0.28721 -0.21408 -0.61197 -0.78232 -0.68244 -0.36036 0.065535 0.44874 0.66388 0.64699 0.41378 0.05118 -0.3144 -0.56046 -0.60898 -0.45076 -0.14603 0.19792 0.4642 0.56565 0.47311 0.22347 -0.094644 -0.37205 -0.51626 -0.4821 -0.28568
20	2.8737 2.1383 1.1205 0.070943 -0.76466 -1.2114 -1.2097 -0.82542 -0.2231 0.38733 0.81453 0.94057 0.75062 0.3299 -0.16967 -0.58138 -0.77717 -0.70608 -0.40616 0.012399 0.40643 0.64769 0.66376 0.45915 0.11058 -0.26106 -0.53189 -0.61606 -0.49232 -0.20888 0.13482 0.42269 0.56077 0.50768 0.28669 -0.023761 -0.31778 -0.49779 -0.50675 -0.34607
21	2.8771 2.1501 1.1416 0.096505 -0.74293 -1.2024 -1.219 -0.85252 -0.26066 0.35141 0.79312 0.94258 0.77738 0.37404 -0.12225 -0.54693 -0.76849 -0.72773 -0.45238 -0.043769 0.35919 0.62608 0.6764 0.50323 0.17228 -0.20216 -0.49614 -0.61655 -0.53021 -0.27251 0.066352 0.37263 0.5468 0.53568 0.34837 0.0515 -0.25422 -0.46792 -0.52166 -0.40182
22	2.8806 2.1625 1.1635 0.12341 -0.71974 -1.1922 -1.2279 -0.88021 -0.2999 0.31302 0.76905 0.94255 0.80349 0.41938 -0.071857 -0.50843 -0.75583 -0.7468 -0.4985 -0.10267 0.3069 0.5985 0.68405 0.54507 0.23558 -0.13796 -0.45275 -0.60943 -0.56307 -0.33566 -0.006783 0.31386 0.52267 0.55539 0.40658 0.12972 -0.18177 -0.42578 -0.52481 -0.45038
23	2.8843 2.1754 1.1865 0.15167 -0.69505 -1.1808 -1.2362 -0.90834 -0.34074 0.27211 0.74213 0.94017 0.8286 0.46563 -0.018588 -0.46569 -0.73874 -0.76267 -0.54387 -0.16388 0.24959 0.56451 0.68584 0.58363 0.29959 -0.068865 -0.40143 -0.59368 -0.58943 -0.39682 -0.083551 0.24652 0.48747 0.56501 0.45917 0.20903 -0.10132 -0.37087 -0.51434 -0.48898
24	2.8881 2.1887 1.2103 0.18129 -0.6688 -1.168 -1.2438 -0.93678 -0.38308 0.22865 0.71218 0.93513 0.85232 0.51246 0.037401 -0.41859 -0.71679 -0.77469 -0.58781 -0.2269 0.18737 0.52369 0.6809 0.61779 0.36325 0.0045313 -0.34207 -0.56841 -0.60779 -0.45431 -0.16261 0.17111 0.44057 0.56286 0.5038 0.28717 -0.01429 -0.3032 -0.48868 -0.5148
25	2.892 2.2025 1.2351 0.21227 -0.64095 -1.1537 -1.2504 -0.96537 -0.42684 0.18264 0.67904 0.9271 0.87425 0.5595 0.095917 -0.36704 -0.68956 -0.78217 -0.62953 -0.29109 0.12048 0.47576 0.66841 0.64635 0.42533 0.081382 -0.27479 -0.53287 -0.61663 -0.50623 -0.24228 0.088542 0.38167 0.54738 0.53802 0.3615 0.077286 -0.22341 -0.44671 -0.52514
26	2.8961 2.2168 1.2609 0.24463 -0.61145 -1.1378 -1.2561 -0.99394 -0.47187 0.13408 0.64255 0.91577 0.89396 0.60632 0.15668 -0.31104 -0.6567 -0.78444 -0.66821 -0.35572 0.049315 0.42054 0.64755 0.66806 0.48449 0.16059 -0.20001 -0.48651 -0.61451 -0.55057 -0.32054 0.00015469 0.31093 0.51731 0.55938 0.42899 0.17078 -0.13287 -0.38802 -0.51755
27	2.9002 2.2315 1.2875 0.27835 -0.58025 -1.1203 -1.2605 -1.0223 -0.51804 0.083008 0.60257 0.90081 0.91099 0.65246 0.21936 -0.25062 -0.61787 -0.78082 -0.70294 -0.41991 -0.025579 0.35803 0.61768 0.68168 0.53916 0.24082 -0.11841 -0.42907 -0.60011 -0.58522 -0.39505 -0.092213 0.22903 0.4718 0.56555 0.48642 0.26297 -0.033747 -0.31258 -0.49013
28	2.9045 2.2466 1.3149 0.31345 -0.54731 -1.101 -1.2636 -1.0502 -0.56518 0.029475 0.55898 0.8819 0.92487 0.69739 0.28355 -0.18591 -0.57281 -0.77063 -0.73278 -0.48267 -0.10349 0.28839 0.57824 0.68597 0.58771 0.32045 -0.031043 -0.36061 -0.57232 -0.60808 -0.46324 -0.18624 0.13724 0.41052 0.5545 0.53044 0.35009 0.070936 -0.22196 -0.44172
29	2.9088 2.2621 1.3433 0.34993 -0.51258 -1.0797 -1.2652 -1.0776 -0.61311 -0.026439 0.51169 0.85875 0.93512 0.74056 0.34877 -0.11714 -0.52134 -0.75325 -0.75675 -0.5429 -0.18349 0.21199 0.52883 0.67976 0.62841 0.39763 0.060671 -0.28158 -0.53034 -0.61714 -0.52232 -0.27914 0.037505 0.33381 0.52465 0.55778 0.428 0.17732 -0.1184 -0.37219
30	2.9133 2.278 1.3725 0.38778 -0.47603 -1.0565 -1.265 -1.1041 -0.66162 -0.084622 0.46063 0.83106 0.94125 0.78133 0.41446 -0.044624 -0.46336 -0.72811 -0.77385 -0.5994 -0.26452 0.12961 0.4693 0.66201 0.6595 0.4703 0.15494 -0.19289 -0.47377 -0.61059 -0.56942 -0.36768 -0.067566 0.24281 0.47507 0.56548 0.4923 0.28076 -0.0053419 -0.28267
31	2.9179 2.2943 1.4025 0.42699 -0.50121 -1.0311 -1.2629 -1.1295 -0.71048 -0.14494 0.40576 0.79855 0.94275 0.8191 0.47999 0.031218 -0.39891 -0.6947 -0.78309 -0.65087 -0.34529 0.041574 0.39973 0.63186 0.67924 0.53621 0.24962 -0.095949 -0.4027 -0.58696 -0.6017 -0.44832 -0.17467 0.13952 0.40568 0.55109 0.53862 0.37602 0.11255 -0.1757
32	2.9225 2.311 1.4333 0.46756 -0.39727 -1.0035 -1.2587 -1.1536 -0.75944 -0.20722 0.34709 0.76102 0.93913 0.85317 0.54465 0.10986 -0.32811 -0.65264 -0.78351 -0.69595 -0.42436 -0.050468 0.32049 0.58867 0.68599 0.593 0.34218 0.0073197 -0.31778 -0.54523 -0.61652 -0.5173 -0.27989 0.026876 0.31741 0.51298 0.5629 0.45749 0.2296 -0.055367
33	2.9273 2.328 1.4649 0.50948 -0.355 -0.97354 -1.2522 -1.1761 -0.80822 -0.27125 0.28464 0.71822 0.9299 0.88283 0.60765 0.19064 -0.25125 -0.60164 -0.77422 -0.73323 -0.50012 -0.1453 0.2323 0.53213 0.67828 0.63825 0.42981 0.11445 -0.22035 -0.48502 -0.61157 -0.5708 -0.37878 -0.091256 0.21233 0.45057 0.5617 0.5195 0.33926 0.072705
34	2.9321 2.3453 1.4972 0.55274 -0.31078 -0.94116 -1.2433 -1.1967 -0.85652 -0.33678 0.21852 0.66999 0.91461 0.90736 0.66813 0.27278 -0.16877 -0.54159 -0.75443 -0.76132 -0.57082 -0.24126 0.13623 0.46228 0.65488 0.6696 0.50948 0.22248 -0.11243 -0.40666 -0.58514 -0.60519 -0.46654 -0.21012 0.093792 0.36462 0.53262 0.55674 0.43446 0.20149
35	2.937 2.3629 1.5303 0.59731 -0.26453 -0.90624 -1.2316 -1.2152 -0.90401 -0.40354 0.14885 0.61623 0.89281 0.92601 0.72518 0.3554 -0.081271 -0.47252 -0.72345 -0.77882 -0.63458 -0.33642 0.033734 0.37963 0.61494 0.68484 0.57798 0.32796 0.003215 -0.31134 -0.53622 -0.61721 -0.53824 -0.32424 -0.033636 0.25737 0.47463 0.56474 0.50809 0.32286
36	2.9419 2.3808 1.5641 0.64319 -0.21629 -0.86868 -1.2171 -1.2312 -0.95035 -0.47119 0.075819 0.55685 0.86411 0.93807 0.7778 0.43748 0.010477 -0.39468 -0.68079 -0.78445 -0.68949 -0.42861 -0.07334 0.28496 0.55804 0.68204 0.63212 0.42705 0.12309 -0.20118 -0.46476 -0.60432 -0.58909 -0.42758 -0.16417 0.13274 0.38841 0.54034 0.55346 0.42806
37	2.9469 2.399 1.5985 0.69035 -0.16601 -0.8284 -1.1995 -1.2446 -0.99516 -0.53938 -0.00032679 0.49187 0.82816 0.9428 0.82499 0.51788 0.10553 -0.30853 -0.62616 -0.77703 -0.73359 -0.51547 -0.18276 0.1799 0.4843 0.65967 0.66883 0.51572 0.24305 -0.07929 -0.37183 -0.56485 -0.61479 -0.51391 -0.29107 -0.0037484 0.27661 0.4822 0.56508 0.50832
38	2.952 2.4174 1.6336 0.73876 -0.11368 -0.7853 -1.1787 -1.2549 -1.0381 -0.6077 -0.079281 0.42135 0.78468 0.93951 0.8657 0.59537 0.20273 -0.2148 -0.5595 -0.75558 -0.765 -0.59449 -0.29193 0.06639 0.39446 0.61676 0.68531 0.58976 0.35838 0.050216 -0.2597 -0.49839 -0.61186 -0.57717 -0.40687 -0.145 0.14403 0.39123 0.53925 0.55564
39	2.9571 2.436 1.6692 0.7884 -0.059311 -0.73931 -1.1544 -1.2618 -1.0786 -0.6757 -0.16069 0.34543 0.73347 0.92757 0.89886 0.66863 0.30076 -0.11438 -0.48105 -0.71933 -0.78192 -0.66306 -0.39792 -0.053026 0.28993 0.55299 0.67929 0.6451 0.46395 0.18234 -0.13197 -0.40593 -0.57804 -0.61191 -0.50384 -0.2827 -0.0024428 0.2709 0.47464 0.56369
40	2.9623 2.4549 1.7055 0.83923 -0.0028924 -0.69037 -1.1265 -1.2651 -1.1164 -0.74289 -0.2441 0.26435 0.67439 0.90639 0.92344 0.73626 0.39814 -0.0085488 -0.39135 -0.66785 -0.78277 -0.71858 -0.49756 -0.17528 0.17287 0.46884 0.64911 0.67799 0.55448 0.31129 0.006491 -0.29008 -0.51262 -0.61376 -0.57451 -0.40766 -0.15401 0.12741 0.37294 0.52858
41	2.9675 2.4739 1.7422 0.89122 0.055565 -0.6384 -1.0948 -1.2644 -1.151 -0.80875 -0.32903 0.17843 0.60742 0.87546 0.93839 0.79679 0.49321 0.10123 -0.2913 -0.60103 -0.76623 -0.75855 -0.5875 -0.29683 0.046157 0.3657 0.59399 0.68527 0.62475 0.43073 0.14958 -0.15513 -0.41676 -0.57997 -0.61231 -0.5105 -0.30037 -0.030429 0.23913 0.44975
42	2.9727 2.4931 1.7795 0.94431 0.11605 -0.58335 -1.0592 -1.2594 -1.1819 -0.87271 -0.4149 0.08807 0.53265 0.8344 0.94278 0.84876 0.58418 0.2132 -0.18213 -0.51919 -0.73133 -0.78064 -0.66432 -0.41373 -0.086586 0.2459 0.51417 0.6646 0.66995 0.5341 0.29022 -0.0070673 -0.29371 -0.50986 -0.61215 -0.58234 -0.43038 -0.19154 0.081558 0.33051
43	2.9779 2.5124 1.8172 0.99848 0.17853 -0.52519 -1.0194 -1.2498 -1.2087 -0.93418 -0.50109 -0.0062044 0.45028 0.78292 0.93571 0.89069 0.66916 0.32539 -0.065488 -0.42307 -0.67755 -0.78286 -0.72466 -0.52176 -0.22109 0.11277 0.41106 0.61476 0.68599 0.61489 0.42061 0.14663 -0.14888 -0.40514 -0.57113 -0.61561 -0.53289 -0.34328 -0.088303 0.17831
44	2.9832 2.5319 1.8553 1.0537 0.24298 -0.46389 -0.97537 -1.2354 -1.2309 -0.99252 -0.5869 -0.10378 0.36066 0.72089 0.91641 0.92115 0.74616 0.43557 0.056637 -0.31393 -0.6049 -0.76365 -0.76537 -0.61655 -0.3525 -0.029398 0.2873 0.53583 0.66991 0.66716 0.53271 0.29724 0.01023 -0.27026 -0.48908 -0.60492 -0.59775 -0.47233 -0.25653 0.004668
45	2.9885 2.5514 1.8938 1.1098 0.30937 -0.39941 -0.92696 -1.2157 -1.248 -1.0471 -0.67156 -0.20394 0.26426 0.64832 0.88427 0.93878 0.81317 0.54133 0.18189 -0.19353 -0.51395 -0.72198 -0.78367 -0.69379 -0.47559 -0.17541 0.14687 0.42941 0.62012 0.68599 0.61867 0.43526 0.17428 -0.11225 -0.36899 -0.54786 -0.6169 -0.56591 -0.40778 -0.17548
46	2.9937 2.571 1.9326 1.1669 0.37764 -0.33179 -0.87404 -1.1906 -1.2595 -1.0972 -0.75425 -0.30585 0.16172 0.56541 0.83884 0.94235 0.86821 0.64012 0.30756 -0.064136 -0.40596 -0.65752 -0.77733 -0.74937 -0.5849 -0.31935 -0.0050643 0.29872 0.53681 0.66788 0.67146 0.55102 0.33255 0.059179 -0.21721 -0.44564 -0.58541 -0.61314 -0.52667 -0.34489
47	2.999 2.5907 1.9717 1.2248 0.44774 -0.26097 -0.81654 -1.1598 -1.2649 -1.1421 -0.83411 -0.4086 0.0538 0.47255 0.77985 0.9308 0.90932 0.72931 0.43067 0.071457 -0.28283 -0.57067 -0.7448 -0.77968 -0.675 -0.45474 -0.16212 0.14867 0.42211 0.61125 0.68545 0.63531 0.47358 0.23232 -0.043352 -0.30353 -0.50244 -0.60639 -0.59941 -0.48558
48	3.0043 2.6104 2.011 1.2835 0.5196 -0.18704 -0.75436 -1.123 -1.2639 -1.1811 -0.91021 -0.51115 -0.058543 0.37033 0.7073 0.90326 0.93473 0.80621 0.54799 0.20999 -0.1472 -0.46272 -0.6854 -0.78175 -0.74077 -0.57488 -0.31701 -0.014306 0.28023 0.51679 0.65705 0.68023 0.58603 0.39409 0.14007 -0.13085 -0.37187 -0.54255 -0.61552 -0.58079
49	3.0095 2.63 2.0505 1.3429 0.59315 -0.11001 -0.68748 -1.08 -1.2558 -1.2136 -0.98107 -0.61239 -0.17423 0.25956 0.62142 0.85948 0.94281 0.86824 0.65614 0.34779 -0.0023632 -0.33583 -0.59946 -0.75356 -0.77769 -0.67312 -0.46185 -0.18229 0.11747 0.38771 0.5852 0.67993 0.65958 0.53098 0.31844 0.059285 -0.20257 -0.42395 -0.56947 -0.61712
